FC_ID,ID,Target_Month,Create_Month,Model,StatFC,Actual,JudgmFC,Stat_IND,Man_IND,StatMan_IND,Product_Group,Price_Index,Launch_Date,Launch_Month,Launch_Year,Create_CalMonth,Create_Year,Target_CalMonth,Target_Year,Lead_Time,Product_Age,APE_Stat,APE_Judgm,APE_Stat_Shift,APE_Judgm_shift,APE_STAT_LOG,APE_Judgm_LOG,target_year_shift
23,10003,201703,201612,SHORT ShiftLevel,199,78,172,1,1,11,3,137,201606,6,2016,12,2016,3,2017,3,9,155.1,120.5,155.1,120.5,5.0442519049,4.7917561416,8
27,10003,201704,201610,SHORT ShiftLevel,283,62,78,1,1,11,3,137,201606,6,2016,10,2016,4,2017,6,10,356.5,25.8,300.0,25.8,5.8761985025,3.2506245232,8
36,10003,201705,201612,SHORT ShiftLevel,235,118,134,1,1,11,3,137,201606,6,2016,12,2016,5,2017,5,11,99.2,13.6,99.2,13.6,4.5966594963,2.6070742838,8
56,10004,201108,201105,LONG DownTrend,216,362,276,1,1,11,5,174,198407,7,1984,5,2011,8,2011,3,120,40.3,23.8,40.3,23.8,3.6971325959,3.1678732704,2
57,10004,201108,201106,LONG DownTrend,214,362,289,1,1,11,5,174,198407,7,1984,6,2011,8,2011,2,120,40.9,20.2,40.9,20.2,3.7107382479,3.0039854153,2
113,10008,201709,201703,SHORT ShiftLevel,2329,702,1440,1,1,11,3,46,201612,12,2016,3,2017,9,2017,6,9,231.8,105.1,231.8,105.1,5.4457298892,4.6551806066,8
115,10008,201709,201705,SHORT ShiftLevel,1795,702,1414,1,1,11,3,46,201612,12,2016,5,2017,9,2017,4,9,155.7,101.4,155.7,101.4,5.0479182701,4.6193146934,8
117,10008,201709,201707,SHORT ShiftLevel,1441,702,1456,1,1,11,3,46,201612,12,2016,7,2017,9,2017,2,9,105.3,107.4,105.3,107.4,4.6565347029,4.67662915,8
120,10008,201710,201705,SHORT ShiftLevel,1887,635,1054,1,1,11,3,46,201612,12,2016,5,2017,10,2017,5,10,197.2,66.0,197.2,66.0,5.2840427388,4.189416107,8
122,10008,201710,201707,SHORT ShiftLevel,1623,635,1141,1,1,11,3,46,201612,12,2016,7,2017,10,2017,3,10,155.6,79.7,155.6,79.7,5.0472278848,4.3780818564,8
