ID_OSOB;ID_GOSP;WOJ;PLEC;WIEK;TYP_RODZ;DOCHM;WYDM;EDU;KMZ
7;206230411;Zachodniopomorskie;Mezczyzna;59;2:Malzenstwo bez dzieci;5145.31;3810.79;3;2
23;206231021;Zachodniopomorskie;Mezczyzna;24;9:Pozostale;1960;921.23;3;2
42;206240411;Zachodniopomorskie;Kobieta;52;2:Malzenstwo bez dzieci;3900;2733.54;5;2
51;206240721;Zachodniopomorskie;Mezczyzna;78;2:Malzenstwo bez dzieci;1780;1314.89;5;2
73;206250111;Zachodniopomorskie;Mezczyzna;84;2:Malzenstwo bez dzieci;3914.93;3128.66;1;2
77;206250211;Zachodniopomorskie;Kobieta;44;4:Malzenstwo +2;2937;2939.97;3;2
87;206250521;Zachodniopomorskie;Kobieta;38;5:Malzenstwo +3;4490.7;3252.03;4;2
122;206260611;Zachodniopomorskie;Kobieta;20;4:Malzenstwo +2;5200;3874.09;4;2
133;206260921;Zachodniopomorskie;Kobieta;30;2:Malzenstwo bez dzieci;4300;3502.96;1;2
143;206261211;Zachodniopomorskie;Mezczyzna;55;2:Malzenstwo bez dzieci;1479.08;1823.65;3;2
215;206290611;Zachodniopomorskie;Kobieta;30;2:Malzenstwo bez dzieci;3838;1588.57;1;2
224;206290911;Zachodniopomorskie;Mezczyzna;78;9:Pozostale;2600;1983;5;2
240;206291221;Zachodniopomorskie;Mezczyzna;21;7:Matka i dzieci;4266.91;3077.27;4;2
254;206300811;Zachodniopomorskie;Kobieta;58;1:Osoba samotna;1303.82;2729.57;5;2
277;206310411;Wielkopolskie;Mezczyzna;45;4:Malzenstwo +2;1942;1833.33;5;1
280;206310621;Wielkopolskie;Kobieta;76;2:Malzenstwo bez dzieci;1728.66;1849.67;3;1
291;206310911;Wielkopolskie;Mezczyzna;26;9:Pozostale;3000;1569.1;4;1
295;206310921;Wielkopolskie;Kobieta;21;6:Malzenstwo +4+;10750;3080.29;4;1
299;206311211;Wielkopolskie;Kobieta;44;4:Malzenstwo +2;13000;5643.58;3;1
330;206320911;Wielkopolskie;Kobieta;56;9:Pozostale;8609;4019.6;1;1
343;206330111;Wielkopolskie;Kobieta;30;9:Pozostale;6220;4565.43;1;1
349;206330311;Wielkopolskie;Kobieta;22;1:Osoba samotna;260.79;821.64;4;1
418;206350311;Wielkopolskie;Mezczyzna;64;2:Malzenstwo bez dzieci;4360;3025.7;1;1
421;206350421;Wielkopolskie;Mezczyzna;41;4:Malzenstwo +2;5800;4874.48;5;1
441;206350821;Wielkopolskie;Kobieta;72;2:Malzenstwo bez dzieci;1887;1361.83;5;1
504;206370311;Wielkopolskie;Mezczyzna;20;9:Pozostale;3420;2322.95;6;1
516;206371011;Wielkopolskie;Kobieta;70;9:Pozostale;4850;4350.63;5;1
529;206380121;Wielkopolskie;Kobieta;36;9:Pozostale;4021.19;2283.09;1;1
635;206400711;Wielkopolskie;Mezczyzna;56;2:Malzenstwo bez dzieci;3403.25;4283.56;3;1
645;206410111;Wielkopolskie;Mezczyzna;26;3:Malzenstwo +1;2020;2520.69;1;1
647;206410411;Wielkopolskie;Kobieta;72;1:Osoba samotna;1030;908.83;7;1
651;206410621;Wielkopolskie;Kobieta;56;9:Pozostale;3582.38;2936.8;5;1
654;206410711;Wielkopolskie;Mezczyzna;34;3:Malzenstwo +1;3520;4832.25;1;1
681;206420411;Wielkopolskie;Mezczyzna;36;3:Malzenstwo +1;3648;1800.59;5;1
703;206421021;Wielkopolskie;Mezczyzna;57;1:Osoba samotna;870;890.58;1;1
723;206430621;Warminsko-mazurskie;Kobieta;41;4:Malzenstwo +2;8277.77;5295.14;1;3
734;206431221;Warminsko-mazurskie;Kobieta;50;1:Osoba samotna;5152.33;3184.1;1;3
743;206440711;Warminsko-mazurskie;Kobieta;40;3:Malzenstwo +1;3260;2243.09;4;3
769;206450511;Warminsko-mazurskie;Mezczyzna;49;4:Malzenstwo +2;5213.33;2723.69;3;3
808;206460421;Warminsko-mazurskie;Mezczyzna;76;2:Malzenstwo bez dzieci;2168;1405.14;3;3
832;206461211;Warminsko-mazurskie;Kobieta;50;9:Pozostale;5124.75;4197.73;5;3
833;206461211;Warminsko-mazurskie;Kobieta;28;9:Pozostale;5124.75;4197.73;5;3
834;206461221;Warminsko-mazurskie;Mezczyzna;62;1:Osoba samotna;1380;1813.79;4;3
850;206470411;Swietokrzyskie;Kobieta;70;9:Pozostale;2566.2;2343.57;7;2
892;206471211;Swietokrzyskie;Mezczyzna;46;6:Malzenstwo +4+;5300;6053.72;3;2
893;206471211;Swietokrzyskie;Mezczyzna;23;6:Malzenstwo +4+;5300;6053.72;4;2
917;206480721;Swietokrzyskie;Kobieta;70;2:Malzenstwo bez dzieci;3017;2282.42;5;2
952;206490621;Swietokrzyskie;Mezczyzna;57;2:Malzenstwo bez dzieci;2346.33;1816.3;5;2
982;206500311;Swietokrzyskie;Mezczyzna;64;2:Malzenstwo bez dzieci;1900;1360.27;3;2
987;206500411;Swietokrzyskie;Kobieta;37;9:Pozostale;2400;1195.03;3;2
1072;206521221;Slaskie;Kobieta;61;9:Pozostale;5693.2;4907.85;5;2
1082;206530311;Slaskie;Kobieta;55;3:Malzenstwo +1;3680;4089.84;1;2
1194;206560221;Slaskie;Kobieta;34;3:Malzenstwo +1;2944.57;2117.11;1;2
1210;206560811;Slaskie;Kobieta;56;1:Osoba samotna;1924;1683.78;5;2
1226;206570111;Slaskie;Mezczyzna;57;9:Pozostale;3014.4;4827.66;3;2
1228;206570121;Slaskie;Mezczyzna;59;4:Malzenstwo +2;5160.35;3342.68;1;2
1234;206570321;Slaskie;Kobieta;34;9:Pozostale;5154.39;2586.84;1;2
1275;206590221;Pomorskie;Mezczyzna;25;3:Malzenstwo +1;2160;2577.61;1;2
1347;206610221;Pomorskie;Kobieta;31;3:Malzenstwo +1;9975.69;5941.86;1;2
1364;206610811;Pomorskie;Mezczyzna;24;9:Pozostale;5400;1171.87;1;2
1374;206611111;Pomorskie;Kobieta;63;2:Malzenstwo bez dzieci;2314;1972.89;5;2
1375;206611111;Pomorskie;Mezczyzna;58;2:Malzenstwo bez dzieci;2314;1972.89;5;2
1384;206620121;Pomorskie;Mezczyzna;66;9:Pozostale;2917.49;2502.94;1;2
1411;206621221;Pomorskie;Kobieta;63;1:Osoba samotna;2591.12;2545.9;1;2
1428;206630611;Pomorskie;Kobieta;41;9:Pozostale;2921;2934.16;3;2
1456;206640511;Pomorskie;Kobieta;28;3:Malzenstwo +1;4256;2724.23;1;2
1467;206640911;Pomorskie;Kobieta;70;1:Osoba samotna;1990;1050.85;1;2
1490;206650511;Pomorskie;Mezczyzna;22;9:Pozostale;4480;4484.21;4;2
1492;206650521;Pomorskie;Mezczyzna;53;9:Pozostale;9076.68;8359.77;1;2
1497;206650711;Pomorskie;Mezczyzna;51;9:Pozostale;4200;3786.85;5;2
1498;206650711;Pomorskie;Kobieta;21;9:Pozostale;4200;3786.85;4;2
1508;206650921;Pomorskie;Kobieta;23;9:Pozostale;5410;3077.4;2;2
1509;206650921;Pomorskie;Kobieta;86;9:Pozostale;5410;3077.4;7;2
1510;206651011;Pomorskie;Kobieta;86;1:Osoba samotna;1100.35;1154.98;7;2
1533;206660611;Pomorskie;Mezczyzna;29;2:Malzenstwo bez dzieci;4600;1338.1;1;2
1540;206660911;Pomorskie;Mezczyzna;26;1:Osoba samotna;1300;1033.16;3;2
1542;206660921;Pomorskie;Mezczyzna;32;3:Malzenstwo +1;3200;1196.44;1;2
1563;206670421;Pomorskie;Kobieta;66;2:Malzenstwo bez dzieci;2574;1176.27;3;2
1574;206670721;Pomorskie;Mezczyzna;52;2:Malzenstwo bez dzieci;3150;3956.65;3;2
1579;206670821;Pomorskie;Mezczyzna;56;2:Malzenstwo bez dzieci;3938;981.96;3;2
