"","w","age"
"1",3400,47
"2",4500,59
"3",1900,40
"4",4800,46
"5",2550,59
"6",1630,43
"7",2200,29
"8",3000,30
"9",2500,33
"10",2800,61
"11",2000,38
"12",2000,53
"13",1680,32
"14",2500,47
"15",1808,60
"16",3200,39
"17",5000,33
"18",2200,53
"19",2200,64
"20",2390,47
"21",3400,47
"22",2100,33
"23",2000,50
"24",2100,53
"25",2600,33
"26",2900,45
"27",3000,62
"28",6000,52
"29",3050,31
"30",2300,24
"31",4500,36
"32",8900,36
"33",3100,34
"34",2100,43
"35",2000,46
"36",1700,59
"37",2000,63
"38",2800,58
"39",4500,35
"40",3500,63
"41",2900,30
"42",3400,56
"43",2700,57
"44",3000,38
"45",3500,50
"46",2800,59
"47",5200,31
"48",3000,57
"49",6000,35
"50",4000,37
"51",4200,59
"52",2000,51
"53",1700,56
"54",2100,42
"55",1920,58
"56",1950,70
"57",4500,59
"58",3400,50
"59",2200,44
"60",2000,44
"61",2400,60
"62",5500,32
"63",2500,59
"64",2200,27
"65",5000,41
"66",2000,60
"67",2300,36
"68",3500,58
"69",6500,41
"70",2500,40
"71",2400,44
"72",3000,63
"73",2000,27
"74",3300,40
"75",3500,69
"76",2400,34
"77",3000,23
"78",1900,43
"79",2000,22
"80",3000,65
"81",3600,64
"82",7000,36
"83",1630,59
"84",5000,30
"85",3700,45
"86",3500,38
"87",5200,49
"88",3200,58
"89",3000,29
"90",6000,38
"91",6500,55
"92",5000,46
"93",3500,33
"94",2700,54
"95",1800,48
"96",3000,51
"97",4500,59
"98",2000,50
"99",2200,49
"100",2700,34
"101",2800,43
"102",3500,36
"103",1400,34
"104",8000,30
"105",2500,29
"106",8500,50
"107",2500,25
"108",2600,35
"109",300,70
"110",3400,57
"111",2100,56
"112",2800,42
"113",2000,43
"114",2000,30
"115",3200,50
"116",3000,23
"117",3000,60
"118",1920,45
"119",2600,59
"120",3000,54
"121",3000,63
"122",5000,38
"123",3000,37
"124",1000,29
"125",3200,43
"126",2500,34
"127",3700,39
"128",2000,36
"129",1900,23
"130",15000,45
"131",3700,51
"132",3200,31
"133",2600,34
"134",3000,52
"135",2700,44
"136",1800,56
"137",4400,49
"138",2850,44
"139",3000,60
"140",1900,58
"141",2000,33
"142",3200,51
"143",1400,24
"144",5000,46
"145",2085,38
"146",2500,28
"147",2600,52
"148",3900,40
"149",2500,46
"150",1700,64
"151",3100,66
"152",3400,31
"153",7000,54
"154",4000,30
"155",3000,44
"156",3500,38
"157",2700,42
"158",5900,63
"159",1866,30
"160",2600,24
"161",3600,64
"162",3000,62
"163",5000,34
"164",3000,30
"165",2000,53
"166",2800,55
"167",3400,61
"168",1900,59
"169",3300,48
"170",1800,56
"171",1600,43
"172",4200,59
"173",4200,56
"174",1400,57
"175",3500,42
"176",990,52
"177",2500,22
"178",2550,54
"179",1920,21
"180",3000,47
"181",808,72
"182",1877,52
"183",1920,52
"184",1920,51
"185",3200,59
"186",3200,32
"187",2100,26
"188",3000,32
"189",2500,63
"190",2000,30
"191",1500,31
"192",4900,40
"193",2680,61
"194",5500,71
"195",6000,39
"196",1900,36
"197",3500,67
"198",4700,42
"199",2700,47
"200",2500,50
"201",3200,23
"202",1700,31
"203",2300,41
"204",3500,36
"205",3500,62
"206",4000,47
"207",3000,64
"208",3800,52
"209",2600,56
"210",2100,35
"211",1800,41
"212",2100,29
"213",4500,36
"214",2000,40
"215",4500,38
"216",2900,33
"217",1900,48
"218",1600,35
"219",1900,24
"220",4000,40
"221",3850,59
"222",5500,49
"223",2650,31
"224",2000,47
"225",1580,58
"226",4600,28
"227",1950,55
"228",2200,37
"229",3000,37
"230",1900,33
"231",2100,50
"232",4000,41
"233",3000,40
"234",2300,65
"235",2300,37
"236",2300,59
"237",3000,35
"238",2400,60
"239",2200,28
"240",1950,40
"241",1850,40
"242",3100,33
"243",2800,32
"244",3000,26
"245",3000,30
"246",3000,58
"247",3500,58
"248",3700,60
"249",2000,64
"250",2800,52
"251",3200,40
"252",2300,45
"253",2000,41
"254",3900,51
"255",2600,50
"256",3000,56
"257",1900,36
"258",2400,45
"259",1500,47
"260",4500,52
"261",3000,35
"262",2000,23
"263",2200,31
"264",1800,43
"265",3000,55
"266",2300,26
"267",3000,32
"268",2000,38
"269",2200,24
"270",2400,62
"271",3000,58
"272",3600,32
"273",2854,59
"274",1800,62
"275",3000,60
"276",2100,49
"277",2500,60
"278",2600,43
"279",3000,53
"280",2500,70
"281",4400,41
"282",5500,48
"283",4000,42
"284",4000,37
"285",4900,49
"286",2100,27
"287",1666,65
"288",5500,71
"289",6000,39
"290",4000,42
"291",2300,48
"292",1900,61
"293",3600,56
"294",2500,54
"295",3800,35
"296",2200,38
"297",3000,50
"298",2100,57
"299",3100,52
"300",2000,35
"301",1800,33
"302",2400,45
"303",4000,48
"304",2000,59
"305",3000,48
"306",3000,39
"307",1800,22
"308",3300,62
"309",1800,43
"310",4600,32
"311",2700,59
"312",5000,47
"313",1300,54
"314",2000,58
"315",2500,33
"316",2000,39
"317",4500,50
"318",4000,38
"319",3000,43
"320",2500,46
"321",2100,21
