age,exp,w
25,4,3000
48,18,2500
59,38,5000
46,17,3500
42,20,2000
47,23,2400
51,24,2000
45,21,2300
40,20,5500
33,16,2800
34,11,2300
46,20,2500
60,36,2800
42,20,3000
53,34,2450
47,11,2400
29,4,2300
54,35,2400
45,21,2200
43,23,2500
47,27,2300
43,21,2340
27,4,0
37,19,2500
35,7,2650
51,16,2600
29,7,3200
43,17,2500
43,26,2200
35,16,4000
63,45,2400
62,37,1920
63,17,220
48,26,3000
48,21,2000
41,15,2500
29,10,4700
27,6,2500
55,31,4000
51,36,2400
34,6,1740
47,23,2500
31,5,2500
54,26,1400
66,50,3000
31,12,2200
46,24,4000
58,32,3700
52,34,3000
21,1,2500
48,16,2100
32,4,2100
34,14,3000
33,6,4000
32,15,3000
42,22,2300
40,20,1866
57,38,1500
47,25,3800
46,15,4000
35,14,3500
32,6,3500
58,25,3200
58,31,2250
38,14,1970
43,23,2956
60,37,4300
34,9,4500
34,6,2900
37,12,3570
41,21,2000
41,15,3000
65,44,3500
46,26,2600
63,42,1850
34,4,1950
27,3,2050
34,7,2850
33,10,2500
58,39,1950
57,38,1950
51,30,2100
56,36,1950
57,38,1800
52,34,2400
31,11,2500
42,22,2500
37,17,1800
67,30,850
50,24,3200
33,11,2500
65,45,1700
40,10,1800
39,12,4000
47,25,2500
47,28,2500
46,21,2200
45,21,1950
40,16,2000
52,27,2600
48,15,2000
27,4,2900
42,17,3600
59,26,3200
50,14,1900
26,3,2500
59,38,2400
56,36,3700
62,43,1750
24,3,2200
72,22,800
40,14,3000
65,47,3000
66,47,750
60,44,3000
21,1,2500
53,21,1700
36,11,3600
38,11,1800
53,23,2100
54,16,2680
55,30,3200
41,20,5000
43,20,1900
60,40,1500
46,26,3000
43,21,3500
36,8,2750
42,20,2000
58,38,3400
44,18,4000
44,20,4000
41,10,3700
36,11,4800
36,12,2300
54,35,3600
55,30,5700
47,18,4800
46,25,4500
39,15,3400
55,35,3800
26,3,1200
49,28,2400
43,18,3000
42,15,2400
45,25,3900
21,1,2400
44,22,2500
38,13,2200
49,27,3000
30,6,2000
60,39,3500
58,34,4000
30,6,7000
29,7,7000
35,10,7000
60,40,4500
61,41,5000
42,18,5000
41,11,1775
33,13,6700
28,10,3500
41,20,8000
45,23,2400
56,30,2300
65,45,3000
64,47,3600
35,13,2000
62,42,3000
34,15,4500
38,20,3500
34,9,5000
30,9,3000
42,20,3200
56,10,780
33,13,2000
63,37,2000
56,40,3300
36,14,7000
36,16,4000
35,11,4600
56,40,3000
56,40,1700
60,30,3000
46,20,5600
23,3,2150
34,11,1800
37,17,2500
25,6,2000
40,21,2500
35,13,7000
41,20,6000
41,20,2500
38,19,3000
36,17,2000
41,12,2000
60,39,2400
54,35,2800
43,23,3000
43,21,3500
57,25,1260
46,25,2750
47,20,1800
28,7,2300
28,3,2700
42,19,2800
22,5,3200
57,35,4000
54,25,2500
43,19,2100
44,15,3200
52,24,4200
42,3,2000
56,32,7000
30,5,1800
47,26,2390
44,25,3000
46,25,5000
43,18,2200
47,23,3400
47,20,2000
50,26,3700
36,18,8900
34,14,3100
53,30,3100
47,25,1750
23,3,1600
49,27,5500
31,8,3400
55,35,3000
33,13,2650
32,10,3300
48,30,4000
47,10,2000
22,2,1500
56,34,2500
58,39,1900
38,12,5500
37,11,2500
51,25,3700
61,41,2300
32,6,1850
39,0,1700
60,41,3500
60,36,3500
41,10,935
40,10,935
62,26,1700
57,38,1700
33,10,2550
26,4,1800
41,20,2700
73,55,1820
31,4,2900
50,29,3600
51,30,2200
42,10,2500
57,33,3100
42,24,5700
41,13,3450
41,20,5000
58,31,1950
31,8,1800
31,2,1950
34,13,2200
29,6,3000
27,2,1800
33,12,3000
43,20,2000
45,15,1200
47,24,3100
44,21,2500
55,33,2200
58,30,1900
37,20,3000
22,1,2000
32,5,2700
33,14,2000
48,26,2600
47,19,3000
22,2,3200
57,42,2800
25,4,3000
51,34,2000
21,2,2000
25,3,2000
64,34,2200
28,9,3000
25,7,2300
42,24,5700
41,13,3450
41,20,5000
58,32,1950
31,9,1900
31,3,1990
34,15,2200
40,17,3000
38,15,2000
24,2,1600
60,42,2700
40,16,2800
40,13,3000
65,46,2600
51,33,2000
49,19,2000
27,3,1920
35,11,2600
51,29,1900
62,38,3000
35,8,2000
34,8,3000
33,8,2500
47,27,3900
38,10,1700
58,36,3000
44,19,4000
45,20,3000
53,3,2000
58,36,2200
26,4,3200
42,21,4000
42,5,2000
39,16,4700
39,10,2900
35,17,2000
29,5,1100
33,14,3000
34,9,4000
54,36,3000
45,20,4900
62,39,1993
57,40,2300
24,5,2300
54,35,2200
52,32,2700
59,35,3000
40,20,3000
51,35,3300
48,26,3200
46,23,3000
46,19,3000
43,17,2900
53,20,1800
56,35,1480
62,43,1000
42,20,2950
39,15,800
23,3,1000
66,48,5000
53,32,2500
52,23,1950
28,12,3500
53,21,2800
47,17,1850
25,1,1850
59,39,3000
32,7,2300
32,9,2300
64,32,1000
59,31,2100
50,20,1900
50,20,2300
43,15,1300
50,33,2200
26,5,2000
50,21,2700
35,12,2700
75,13,1500
40,21,2700
25,4,2200
36,14,2500
54,27,5000
31,6,2400
23,5,1950
41,6,1950
36,8,3500
36,13,2500
60,41,2500
65,41,1920
42,21,2100
56,36,1920
58,26,1920
24,3,1920
70,52,1950
51,31,2000
42,18,3000
42,14,2000
59,35,4500
50,22,3400
46,22,2300
43,15,1900
22,2,3313
29,6,2850
32,14,3200
41,21,2800
17,0,2200
42,11,2600
60,40,2400
59,21,1900
58,34,2170
50,30,2000
53,30,2000
62,43,2500
34,10,4000
58,40,2100
29,10,2700
43,12,2200
53,23,2300
65,45,2300
57,35,2200
41,20,3500
64,43,2260
66,44,2400
55,35,3700
62,40,2920
74,50,2900
64,39,4500
62,34,2600
35,9,4500
33,8,8000
37,15,3000
52,32,2200
55,35,2850
39,10,2670
55,28,2158
60,32,1850
50,29,2400
61,40,3500
58,35,3000
67,46,1800
61,39,3300
63,43,3500
41,13,3800
37,13,6000
30,6,2900
57,35,2300
56,27,3400
63,35,5000
28,9,2000
27,7,1000
40,15,2000
29,9,2600
45,15,2000
61,22,900
48,28,2700
40,14,5100
66,40,2000
65,47,2500
31,12,5000
49,25,2400
49,17,1700
38,17,4200
39,17,3200
51,22,1900
38,14,2400
32,2,4000
28,8,3800
25,5,3500
61,21,3500
58,35,2100
67,42,1800
59,41,1000
49,31,2600
33,7,3000
48,6,1500
28,9,2000
65,41,16000
58,39,1920
50,31,3000
23,2,1950
53,34,2600
34,12,2100
50,29,2000
59,34,6000
55,29,5500
28,6,3000
26,5,3000
28,5,2100
40,15,1900
59,40,2500
34,11,3000
30,5,2500
27,1,2200
37,20,1700
49,26,3500
66,50,800
49,32,2000
62,42,2700
61,39,2200
31,8,3100
27,5,4000
62,40,3000
33,10,2500
63,36,8000
52,26,3000
41,14,3800
28,6,3000
58,39,3000
41,15,2500
42,20,2600
37,10,2400
61,39,2800
57,35,2200
51,30,4000
31,10,3000
29,4,2500
32,5,2500
37,16,3000
42,13,3000
28,3,700
38,10,1850
29,5,1640
54,33,2700
28,2,2017
47,25,3400
56,32,4600
59,34,4500
58,30,1500
48,28,2500
47,20,2400
43,21,4000
59,41,4200
40,21,1900
27,7,1700
46,29,4800
59,40,2550
49,13,1700
44,20,5500
29,4,2800
56,36,2900
57,31,1878
49,15,2100
29,4,3650
43,17,4400
44,29,2100
53,32,2800
54,35,2100
26,2,3000
22,1,2100
62,43,4500
45,26,4500
41,18,3200
48,30,2800
54,21,1000
35,12,4500
61,40,2500
57,25,1900
63,35,2000
51,31,2000
56,40,5700
58,35,3200
56,20,2000
55,32,3500
55,35,4500
55,32,3500
44,20,5000
44,18,3200
48,20,1878
30,12,3000
34,7,1876
60,33,2000
62,40,4500
63,38,4500
35,9,6000
38,14,4000
37,10,4000
30,10,3000
58,39,2200
72,51,3500
66,50,5000
53,27,5600
31,10,3000
60,43,4800
59,33,2000
52,34,3000
42,15,1300
41,15,10000
44,25,4500
36,16,4500
56,20,2000
37,15,10000
40,15,6500
52,30,4000
60,35,2700
57,25,2500
27,7,4600
33,12,3400
40,20,3000
40,20,4600
41,25,1920
50,30,4000
64,49,6000
33,14,2800
36,10,3000
31,5,4000
47,25,1400
65,44,1800
59,35,4500
50,22,3400
37,13,3000
65,44,1920
65,46,1800
38,22,3000
44,18,5200
62,42,1950
45,21,4000
61,41,1920
33,6,4000
40,14,2000
65,45,2000
46,26,6000
46,21,2000
31,11,4000
41,18,4500
34,18,2500
24,5,2000
39,16,1950
33,4,1950
37,11,2200
50,30,5200
46,28,3300
44,23,3200
38,18,4500
38,17,2600
43,18,4500
57,36,1900
53,38,4750
42,24,3900
54,30,2800
36,17,2000
42,16,5500
40,13,2500
50,22,2100
47,28,2000
43,23,5300
42,19,2500
54,36,3000
40,10,1400
47,26,3500
44,23,2500
44,23,5000
41,22,4500
53,30,2100
35,10,8000
53,36,2300
62,20,1920
25,6,2900
24,5,2300
36,16,7000
57,39,3500
61,46,2600
55,28,1600
33,12,2600
49,30,5700
48,30,4600
31,8,4000
45,20,4000
19,0,1500
34,9,2000
31,10,2200
42,20,3000
39,15,2800
27,3,2800
26,3,2160
29,6,2801
28,2,2500
44,24,2690
61,41,2000
63,40,2300
57,37,3800
54,29,3500
21,1,2100
37,15,5000
37,12,3000
59,39,3700
56,38,2700
41,20,4100
45,16,1950
32,12,4000
70,38,500
35,11,3100
50,15,2200
44,20,3500
35,14,3300
40,15,3200
63,43,3200
67,45,1000
36,15,3500
30,8,3050
59,23,400
63,39,3500
51,35,1700
61,35,2500
48,28,1900
59,40,1630
58,35,4500
68,31,850
59,37,1500
68,49,1800
63,45,1400
54,39,1850
40,17,3800
44,23,2300
46,25,2000
36,16,5000
43,15,1800
25,4,3000
31,11,2800
62,42,1800
66,45,2200
29,7,4000
57,35,2000
48,19,3800
40,14,1660
54,30,3100
55,33,2200
38,15,3000
52,35,3500
55,22,1680
45,24,9000
59,17,2000
28,3,1800
48,21,1900
47,21,1900
40,6,4100
72,30,2000
33,7,6000
48,15,2000
49,29,2500
41,16,2000
28,3,2000
31,10,2000
63,42,2000
26,6,3800
30,11,4000
44,19,1200
32,10,5000
28,3,7000
27,3,4000
28,4,3000
47,26,2500
44,20,2000
60,20,1808
31,12,3800
39,14,3200
45,18,3200
61,41,2300
33,7,5000
37,17,3800
59,33,4780
32,3,1750
34,13,4000
55,33,2500
53,35,2200
32,5,2300
49,30,2200
23,5,1800
58,35,1800
64,46,1700
57,38,2600
54,33,2240
50,31,2600
48,32,2600
53,30,3000
39,18,3500
35,10,2500
21,1,2800
46,20,2600
45,28,2900
41,20,1914
44,20,1920
47,28,2100
62,32,3000
52,27,6000
31,6,3050
36,16,2600
56,37,1800
57,38,2500
32,10,2600
36,12,2500
43,24,3000
40,24,1500
28,6,3420
42,21,4000
38,11,2400
52,25,1200
41,18,3500
36,12,3000
59,37,1800
63,41,2000
63,41,6000
56,17,2400
44,23,24000
35,6,200
33,12,2460
50,33,3200
48,21,2000
31,8,2250
57,35,2500
44,20,3250
64,42,3000
34,16,3000
56,25,2500
49,22,2000
25,0,2200
44,12,3300
43,24,1900
45,22,2400
39,19,2000
43,25,2130
40,18,2100
27,2,3500
41,18,2850
45,18,1920
43,26,1920
52,25,2500
50,25,4000
45,24,3800
21,2,0
23,1,1100
35,13,3200
37,15,4000
38,18,2000
53,35,2000
35,10,3500
32,12,1680
47,22,2500
30,4,2200
40,12,1850
33,13,3100
30,6,2600
32,10,3900
57,32,3300
32,13,5000
31,7,3500
44,27,1900
29,4,5000
62,43,1800
48,15,2000
66,44,2500
38,21,2963
45,11,2500
45,25,5000
43,21,2500
56,36,2230
64,38,3000
61,38,2900
26,4,3000
33,15,2500
54,34,1900
26,2,1800
28,7,3000
27,10,3000
51,24,1930
51,35,4000
24,3,4000
51,33,800
25,0,1900
23,1,2000
38,18,1928
31,8,1929
55,8,340
62,8,340
53,27,3500
29,6,2300
43,22,1630
40,12,2000
39,14,4200
42,10,3000
29,4,2600
35,10,2900
35,10,2500
41,17,4300
40,12,2000
29,4,2200
56,36,2900
57,31,1878
49,15,2100
29,4,3650
43,16,4400
33,15,2200
36,16,2300
46,27,2500
51,37,2600
49,15,1800
25,0,1000
44,25,2500
43,20,1900
55,40,2200
34,16,2600
52,20,1800
56,35,2500
64,45,3000
43,25,2800
42,20,2400
24,4,3000
30,13,2800
58,36,3500
38,15,2000
41,20,6500
40,12,2500
43,15,3000
45,10,2100
49,28,2500
45,20,2500
44,16,2400
38,15,4000
37,17,3300
33,9,4000
36,14,3000
41,15,3000
33,13,3000
56,37,2500
24,3,1900
52,28,4500
60,33,3000
60,33,2800
25,5,2000
53,30,2500
48,27,2500
52,32,2180
41,13,2900
43,12,1996
42,16,2400
49,21,2500
59,38,3500
29,6,2600
51,15,3500
53,32,3000
51,30,2300
56,39,2500
47,27,2000
43,27,1900
51,33,1950
57,34,4500
39,18,2500
50,33,2500
42,16,2400
59,28,1950
31,8,2400
27,2,2200
38,14,4000
45,18,4000
39,16,1930
39,5,1700
37,10,2150
40,19,2700
41,18,3000
43,24,3500
36,11,1930
42,18,2200
38,9,950
25,0,1920
59,40,2400
44,21,1900
44,12,1900
40,16,3000
45,22,2700
56,11,1800
60,40,2200
55,36,3000
45,26,2600
45,5,1100
33,12,3000
43,20,2000
45,15,1200
31,9,2400
27,3,2200
38,14,4000
45,18,3400
39,16,1990
39,5,1700
37,10,2150
40,19,2700
41,18,3000
43,24,3500
36,12,1930
42,18,2200
38,9,1100
45,20,2000
36,20,5000
27,11,2500
60,40,2600
57,36,2700
33,12,1920
62,38,4500
43,18,6000
38,10,3000
70,45,434
46,27,4000
50,32,3500
19,3,0
59,25,2800
35,11,7000
31,11,4500
31,10,5200
51,28,1950
57,30,1800
57,42,3000
42,20,1900
37,12,2500
25,4,3000
24,4,2000
51,29,3000
74,39,1000
44,19,9000
42,16,3000
30,4,5000
45,20,3700
40,16,2700
38,11,2200
38,10,3500
47,21,4200
49,25,5200
50,16,2600
47,16,1920
41,9,3000
64,35,1920
57,34,3500
58,36,3200
29,9,2800
69,26,1940
48,29,2680
47,22,2200
60,37,2800
33,9,2100
62,40,1027
59,41,3000
48,33,2000
33,8,2000
48,22,4000
29,7,2400
30,3,4200
47,24,3000
62,41,830
57,39,2400
56,15,2500
38,10,3200
53,25,2100
60,39,2500
29,7,3000
29,2,2000
37,13,3000
65,46,1800
62,42,1950
45,21,4000
61,41,1920
33,6,4000
40,14,2000
65,45,2100
28,8,2700
46,26,6000
46,21,2000
31,11,4000
41,18,4500
34,18,2500
28,9,2000
39,16,1950
33,4,1950
37,11,2200
50,30,5200
46,28,3300
44,23,3200
61,35,2700
64,44,5000
59,38,3800
55,34,2500
57,36,2300
42,15,2500
60,40,3300
38,15,2500
52,31,2000
64,40,3500
34,11,2780
33,5,2700
37,13,3200
40,15,2800
35,7,2200
67,40,2200
59,36,2200
35,8,2600
45,22,1950
39,19,3000
34,5,1950
38,13,2500
58,35,2200
60,20,2200
50,25,4000
33,6,2200
54,19,2000
30,11,2400
36,14,2600
34,16,4000
43,15,1920
40,5,1920
57,33,3100
53,31,2200
67,40,1200
46,25,6000
43,20,1900
57,27,1900
50,23,2000
22,1,1920
62,40,1000
49,30,3000
55,26,3200
49,26,2100
25,1,2400
34,11,6000
37,15,3500
77,36,600
33,10,600
54,39,2100
54,29,14000
39,15,2800
41,20,3500
51,28,4000
49,29,2200
65,27,1600
32,11,3700
50,6,1800
67,35,1800
52,23,3600
41,21,2500
38,12,4500
36,11,13000
36,7,4500
54,11,1620
59,33,5000
37,15,1920
34,4,3000
39,10,1800
35,4,1800
32,5,6200
32,6,6500
58,30,3000
58,25,4000
58,43,400
59,23,2500
82,57,1800
22,3,2100
22,3,2100
54,29,3600
25,3,2300
24,3,3100
34,16,2400
56,35,2500
46,26,4200
37,10,6000
41,21,9000
38,18,13500
66,40,6000
50,25,6000
44,20,5000
46,21,8000
39,14,2350
37,13,12000
42,22,6000
37,18,3000
56,26,2900
56,33,2500
42,22,2200
34,14,2200
33,5,2300
45,14,2400
52,30,2500
47,27,2300
24,2,2500
38,15,1920
63,46,2900
58,35,2000
62,40,1000
46,21,2800
55,36,2750
32,2,1800
61,40,3850
54,5,350
56,25,2000
45,21,5000
37,8,3100
42,18,2000
47,25,9300
58,30,2640
40,16,3800
57,35,2400
29,9,2600
55,34,2800
52,31,3800
62,37,3300
43,23,5400
41,19,3800
52,13,4000
56,33,2750
30,7,2100
30,3,2100
41,21,2100
27,8,5000
36,7,2400
53,35,5000
84,46,300
46,28,750
43,25,4400
43,20,12500
55,31,4800
24,6,4000
49,24,4000
48,25,5000
46,12,2500
47,24,2500
60,39,1921
40,20,7370
36,15,0
55,32,2300
53,22,1650
48,27,2400
40,14,2100
37,14,3500
35,9,1600
62,31,2000
74,50,2900
37,15,3100
55,35,2850
39,11,2670
55,29,2158
61,42,4500
58,36,5000
67,48,2100
61,42,3600
63,44,3500
41,14,4130
37,13,6200
57,38,2500
56,27,3400
28,8,4200
38,11,2400
41,18,3500
36,12,3000
59,38,1950
51,32,5000
31,4,2000
49,29,2000
57,35,1200
60,35,3000
56,35,1920
56,37,2000
30,9,2000
30,11,2000
30,6,2000
28,9,3000
68,35,5000
31,9,3560
35,0,2200
62,41,1920
42,26,2950
56,24,1000
60,41,2300
43,20,1920
50,20,2500
36,10,2500
41,18,2000
51,33,3900
56,37,2800
57,36,2600
47,15,2000
38,22,2500
23,1,3000
36,14,3000
59,30,2000
49,22,1400
60,39,1850
43,27,2400
43,28,1900
35,11,6000
47,24,3100
44,20,2500
56,40,1740
55,33,1780
58,30,1900
22,0,2000
63,43,2500
59,41,4200
53,27,7500
46,24,2800
45,25,2900
48,12,1920
51,16,2000
49,23,3000
61,44,2200
50,10,1650
56,35,1700
33,11,2800
31,7,2500
35,12,2800
43,20,5000
63,37,1400
59,36,4000
55,22,1980
22,2,2600
54,33,3600
44,20,2900
41,16,2700
59,40,3500
55,30,1000
34,7,3500
39,10,2900
31,10,4500
36,10,4000
58,37,1920
58,37,3600
43,20,3500
37,12,2800
48,10,2500
31,5,1925
51,25,3200
48,28,2900
43,20,2450
37,15,1900
37,8,1800
58,31,1800
53,14,1850
32,11,2600
60,35,2100
52,33,2600
42,10,1250
33,12,2400
33,8,5000
38,9,2900
44,25,1800
30,10,2100
50,34,2700
51,35,2500
54,36,3000
53,31,3500
54,32,2500
54,36,1300
46,27,1100
61,41,3000
66,35,600
58,39,2100
38,17,2800
44,20,2800
64,39,3200
45,20,2400
44,18,2400
53,32,3000
56,35,3000
63,38,2300
32,13,1900
28,2,4000
35,15,0
52,32,2000
61,41,2900
58,23,2200
44,16,2200
42,17,2500
50,22,5500
47,22,5400
56,36,1900
56,38,2500
40,15,3700
33,7,3000
63,45,971
60,40,3000
48,20,2600
60,30,2800
36,10,0
59,43,3000
59,43,4000
61,40,3000
36,14,5000
47,29,1960
49,34,1800
45,29,1300
24,4,2300
39,20,12000
36,12,2300
57,35,5000
54,34,2500
50,29,2600
57,28,2800
59,31,2370
60,38,3000
60,41,3000
57,35,367
28,6,2000
58,25,1800
68,25,945
24,1,750
51,32,3050
43,11,2000
43,18,3000
44,23,2000
66,42,4000
68,45,2800
60,34,2400
41,20,6000
40,16,3400
32,10,5500
48,28,1800
43,24,2300
48,12,2200
48,20,5000
33,8,2800
62,35,3400
41,18,2700
34,6,3400
63,43,2250
38,19,2500
21,1,1700
48,22,4500
61,42,1500
48,25,1950
28,5,1950
47,25,4500
46,20,3500
44,29,2050
53,32,2800
54,35,2100
26,2,3000
22,1,2100
62,43,4500
45,26,4500
41,18,3200
48,30,2800
54,20,1000
35,12,4500
61,40,2500
57,25,1800
63,35,2000
51,31,2000
56,40,5700
58,35,3200
59,41,4200
53,27,7500
46,24,2700
45,25,2900
48,12,1920
51,16,1920
51,15,2000
56,5,1900
62,20,2000
60,20,1920
36,15,2300
55,38,3000
35,13,2500
56,17,2000
70,44,1500
65,42,2150
42,20,4100
35,16,2200
48,27,4200
45,27,2900
46,20,2200
40,21,2500
23,3,2000
54,28,2300
46,26,2000
46,23,2600
45,21,2600
58,35,2000
43,24,1680
59,40,1700
32,3,2600
55,33,6000
63,43,2000
34,13,2800
30,7,2100
43,20,4500
30,9,2600
30,8,2200
58,37,2800
51,25,2500
38,15,2000
55,37,2300
28,9,4500
64,32,3500
48,27,2800
23,3,3500
33,11,2400
15,0,230
36,19,3500
29,13,2000
63,33,2000
46,21,1950
35,8,3900
35,14,2600
30,11,3000
44,18,4700
42,21,4500
63,40,2000
57,37,4600
54,30,3100
48,29,3800
66,47,3200
65,48,2350
44,20,6000
63,30,3300
45,22,9700
38,14,6000
35,13,4500
35,13,3500
25,3,2600
21,3,2600
49,26,3200
33,10,3700
55,25,6500
46,20,5000
30,4,2500
33,7,3500
36,11,4000
36,6,1000
69,46,2000
35,15,2400
44,21,2600
28,7,3800
49,35,2100
24,3,2200
28,3,2200
39,18,2500
36,11,2500
27,6,2300
29,6,2100
31,9,1929
62,28,2520
51,26,6000
44,16,2000
40,16,2780
34,7,4500
40,14,3000
39,12,2250
51,33,3000
33,10,2000
49,20,2500
29,4,4500
29,4,3500
32,11,2500
41,20,4000
37,17,3000
45,24,3000
34,14,2200
50,31,2400
48,29,2200
42,15,4000
42,16,2400
33,13,2700
47,26,3500
36,11,3710
53,31,2000
53,32,1920
23,1,2600
56,40,2400
41,15,2800
42,20,3610
46,24,4500
46,25,3000
25,5,2500
29,10,5500
56,36,4200
50,30,2300
53,33,6000
56,31,2200
37,15,3000
43,20,4500
47,23,2400
60,39,2300
63,35,2700
57,37,2300
54,30,3500
20,0,2200
35,14,3000
58,35,3500
31,10,2500
54,25,2380
56,37,3500
21,1,2800
29,6,3400
50,34,2800
22,0,2000
41,22,2500
55,34,2300
44,25,3000
37,10,2500
29,12,3200
31,7,1800
40,20,6000
40,20,5000
55,30,3000
46,28,4500
27,10,3500
35,16,2400
37,17,2000
58,33,3200
45,22,6000
31,11,2400
58,33,2500
64,35,0
69,49,1200
52,31,4000
47,22,4000
48,29,5000
53,31,5800
72,38,2500
61,38,3000
74,52,4500
56,33,5200
31,10,9000
31,5,3500
61,30,2800
41,13,3450
41,20,5000
58,31,1950
31,9,1800
31,2,1950
34,14,2200
29,6,3000
27,2,1800
33,12,3000
43,20,2000
61,35,2800
48,31,5000
45,23,2100
51,32,4500
64,30,1240
63,40,1000
44,25,0
51,17,3400
45,8,3000
59,40,4000
34,14,3500
42,16,4300
59,40,3000
49,25,2500
54,33,3500
32,12,3000
31,11,2500
67,51,700
61,40,3500
30,9,3500
32,10,4000
38,11,3191
45,12,2000
65,30,2000
61,38,3500
61,35,1700
59,28,1750
59,38,2030
59,43,2100
37,18,1900
53,30,2050
63,38,3000
27,2,2000
37,16,2000
58,41,2150
58,38,2200
55,33,2800
24,7,2100
24,4,1950
40,11,3300
55,32,2700
69,42,3500
33,10,2100
54,33,2500
34,8,2400
36,8,1000
53,36,2500
44,25,2250
41,20,2200
38,11,2500
31,8,6000
53,20,2500
66,49,4000
30,4,2500
39,18,1650
55,38,3200
53,26,2400
30,6,3400
42,21,2600
43,20,2000
59,41,2500
59,39,2100
28,7,1000
47,29,2200
49,32,2800
57,38,3100
59,36,0
45,20,900
25,4,3000
48,18,2500
59,38,5000
46,17,3500
42,20,2000
47,23,2600
51,25,2500
45,21,2600
40,20,5500
33,16,2800
34,11,2300
46,20,2500
60,36,2800
42,20,3000
53,34,2600
47,11,2500
29,5,2400
54,35,2600
45,21,2300
54,28,3100
46,24,4500
46,16,2500
65,42,1800
31,4,2500
48,29,2000
54,28,2000
31,10,14000
65,41,2800
38,16,3900
32,15,2650
64,49,1700
62,35,2000
43,22,2500
28,5,2400
48,11,2500
37,13,3200
40,10,2600
38,12,3000
39,10,2000
63,43,2300
37,20,1845
35,11,2200
58,38,2100
44,17,2100
48,10,1300
50,19,2100
35,12,8000
49,10,500
63,38,1860
60,40,1920
50,34,2800
47,31,2200
37,14,2400
27,4,2400
53,30,3000
48,28,3600
21,1,2100
38,17,7000
58,42,2070
24,5,2200
49,30,6000
49,19,1800
25,0,1800
51,29,3900
50,28,2600
29,3,3500
63,34,1450
57,36,2100
56,28,3000
61,40,1900
25,1,1970
29,7,2100
31,10,1929
62,28,2580
51,26,6000
44,16,2000
40,16,2780
34,8,4850
40,14,3000
39,12,2250
51,33,3000
48,21,1800
30,3,2500
33,6,2500
51,23,3000
55,37,2600
68,43,4500
45,19,2700
35,12,2000
44,25,2500
30,11,3000
54,21,1600
44,28,2600
43,16,1900
54,26,2000
45,20,2500
28,8,3300
41,20,3000
38,19,3500
56,34,1500
28,4,3500
29,8,4500
45,19,6500
31,11,3200
31,13,2600
41,21,5000
45,10,2200
28,3,3500
72,43,1700
35,3,1800
62,46,2500
34,11,3600
55,15,1600
60,36,2000
49,30,3000
33,15,3250
31,13,3000
53,32,4000
52,35,2300
29,4,2500
40,15,3000
66,44,1400
40,20,2000
48,32,3500
45,22,1900
57,38,1950
29,10,3500
31,16,2200
35,20,2600
27,8,3300
57,36,2800
57,34,3230
40,18,3100
49,20,2500
61,38,2800
39,21,3500
35,14,3000
38,14,2400
53,34,2200
21,1,2400
32,4,2000
53,35,2200
25,4,1921
53,34,1921
21,1,1920
45,17,2300
52,23,1920
55,4,1100
38,13,3200
31,10,3000
60,43,4800
61,41,4000
56,40,3600
34,11,3500
57,32,100
38,14,2800
33,10,2500
43,22,1860
37,16,2710
42,15,1860
62,18,1860
52,30,4600
48,26,3200
31,15,2200
52,28,3600
37,11,2500
44,21,300
28,7,3000
27,10,2500
32,4,2700
33,13,2000
48,26,2600
47,19,3000
22,1,3200
57,41,2800
25,4,3000
51,34,2000
21,1,2000
25,3,2000
64,34,2200
28,9,2900
25,7,2300
59,38,3500
42,21,2800
37,12,1650
34,9,3000
45,21,2900
44,5,4000
46,25,2400
47,21,2550
41,15,2200
46,21,1800
23,3,1700
49,32,2600
46,6,1680
24,3,1700
42,13,5200
54,16,2600
47,26,2200
32,12,3500
31,6,1600
31,9,2350
34,10,3907
36,8,3500
28,2,2500
30,10,2500
23,1,1800
37,15,2500
